Borrower_ID,Gender,Tipe_Identitas,Wilayah,Status_Pekerjaan,Pendapatan_Bulanan,SIM_Card,Jumlah_Pinjaman,Durasi_Peminjaman,Status_Peminjaman
B00159,Male,KTP,Jakarta,Yes,5770000,XL,1760000,1,No
B00160,Female,KTP,Jakarta,Yes,7360000,Tri,1080000,3,No
B00161,Female,KTP,Jakarta,No,2410000,Telkomsel,2080000,1,No
B00162,Male,KTP,Jakarta,Yes,6800000,Telkomsel,50000,1,No
B00163,Male,KTP,Jakarta,Yes,6200000,Tri,1510000,4,No
B00164,Female,KTP,Jakarta,Yes,3050000,Telkomsel,550000,2,No
B00165,Male,KTP,Jakarta,Yes,4240000,Telkomsel,990000,5,No
B00166,Male,KTP,Jakarta,No,1250000,Telkomsel,0,1,No
B00167,Male,KTP,Jakarta,Yes,4080000,Telkomsel,680000,1,No
B00168,Female,KTP,Jakarta,No,2230000,Telkomsel,1350000,1,No
B00169,Male,KTP,Jakarta,No,2780000,Telkomsel,510000,1,No
B00170,Female,KTP,Jakarta,Yes,3880000,Telkomsel,1020000,2,No
B00171,Male,KTP,Jakarta,Yes,5200000,XL,1250000,2,No
B00172,Male,KTP,Jakarta,Yes,6970000,Tri,1280000,2,No
B00173,Male,KTP,Jakarta,Yes,4220000,Telkomsel,1480000,1,No
B00174,Male,KTP,Jakarta,No,1820000,Telkomsel,3380000,12,Yes
B00175,Male,KTP,Jakarta,No,1490000,Tri,1930000,1,No
B00176,Female,KTP,Jakarta,Yes,5120000,Indosat,1900000,2,No
B00177,Female,KTP,Jakarta,No,1760000,Telkomsel,0,1,No
B00178,Male,KTP,Jakarta,No,2870000,Tri,1420000,7,No
B00179,Male,KTP,Jakarta,No,2720000,Telkomsel,2130000,1,No
B00180,Male,KTP,Jakarta,Yes,6820000,Telkomsel,630000,2,No
B00181,Male,KTP,Jakarta,Yes,3910000,Indosat,110000,1,No
B00182,Female,KTP,Jakarta,Yes,5780000,Telkomsel,1210000,9,No
B00183,Male,KTP,Jakarta,Yes,4160000,Tri,1210000,1,No
B00184,Female,KTP,Jakarta,Yes,5910000,Tri,1210000,2,No
B00185,Male,KTP,Jakarta,Yes,4750000,Telkomsel,730000,1,No
B00186,Male,KTP,Jakarta,Yes,3690000,Telkomsel,1360000,5,No
B00187,Male,KTP,Jakarta,Yes,5460000,Indosat,1970000,3,No
B00188,Male,KTP,Jakarta,No,2980000,Indosat,1090000,1,No
B00189,Male,KTP,Jakarta,No,2350000,Telkomsel,1980000,1,No
B00190,Female,KTP,Jakarta,Yes,5650000,Tri,190000,1,No
B00191,Female,KTP,Jakarta,Yes,7800000,Indosat,1190000,1,No
B00192,Female,KTP,Jakarta,Yes,6310000,Tri,1070000,1,No
B00193,Male,KTP,Jakarta,Yes,5560000,Telkomsel,930000,2,No
B00194,Male,KTM,Jakarta,No,2730000,Tri,2760000,1,No
B00195,Male,KTP,Jakarta,Yes,5270000,Telkomsel,1380000,1,No
B00196,Male,KTP,Jakarta,Yes,4270000,Telkomsel,1480000,1,No
B00197,Male,KTP,Jakarta,Yes,4550000,XL,1030000,3,No
B00198,Male,KTP,Jakarta,Yes,3000000,Telkomsel,260000,1,No
B00199,Female,KTP,Jakarta,Yes,5770000,Telkomsel,2270000,1,No
B00200,Male,KTP,Jakarta,Yes,5930000,Telkomsel,980000,1,No
B00201,Female,KTP,Jakarta,No,2310000,Tri,1080000,3,No
B00202,Male,KTP,Jakarta,No,2600000,XL,2720000,5,Yes
B00203,Male,KTP,Jakarta,Yes,3290000,Telkomsel,1400000,1,No
B00204,Male,KTP,Jakarta,Yes,4600000,Telkomsel,1950000,2,No
B00205,Male,KTP,Jakarta,Yes,6040000,Telkomsel,170000,2,No
B00206,Female,KTP,Jakarta,Yes,4830000,Tri,2680000,12,No
B00207,Male,KTP,Jakarta,Yes,6250000,Indosat,2890000,12,Yes
B00208,Male,KTP,Jakarta,Yes,2690000,Telkomsel,40000,1,No
B00209,Female,KTP,Jakarta,Yes,4490000,Indosat,1140000,4,No
B00210,Male,KTP,Jakarta,No,2640000,Indosat,2910000,12,Yes
B00211,Male,KTM,Jakarta,No,2600000,Telkomsel,1250000,1,No
B00212,Male,KTP,Jakarta,Yes,4960000,Telkomsel,760000,1,No
B00213,Male,KTP,Jakarta,Yes,4630000,XL,1310000,1,No
B00214,Male,KTP,Jakarta,Yes,4090000,Indosat,730000,1,No
B00215,Male,KTP,Jakarta,Yes,4570000,XL,1890000,1,No
B00216,Male,KTP,Jakarta,Yes,5640000,Telkomsel,950000,1,No
B00217,Female,KTP,Jakarta,Yes,4830000,Indosat,340000,2,No
B00218,Male,KTP,Jakarta,No,2310000,XL,2000000,6,No
B00219,Male,KTP,Jakarta,No,2850000,Indosat,2460000,8,No
B00220,Male,KTP,Jakarta,Yes,4800000,Tri,390000,1,No
B00221,Female,KTM,Jakarta,No,2450000,Indosat,1770000,11,No
B00222,Male,KTP,Jakarta,Yes,3980000,Telkomsel,1180000,3,No
B00223,Female,KTP,Jakarta,No,2180000,Telkomsel,1680000,1,No
B00224,Male,KTP,Jakarta,Yes,5150000,Telkomsel,1200000,11,No
B00225,Male,KTP,Jakarta,Yes,4580000,Telkomsel,680000,1,No
B00226,Male,KTP,Jakarta,Yes,3160000,Indosat,770000,3,No
B00227,Male,KTP,Jakarta,Yes,5370000,XL,2700000,4,No
B00228,Male,KTP,Jakarta,No,2380000,Indosat,1300000,1,No
B00229,Male,KTP,Jakarta,Yes,5200000,Tri,2160000,1,No
B00230,Male,KTP,Jakarta,Yes,6060000,XL,1100000,2,No
B00231,Male,KTP,Jakarta,Yes,7110000,Telkomsel,2090000,3,No
B00232,Female,KTP,Jakarta,Yes,5420000,Telkomsel,760000,1,No
B00233,Male,KTP,Jakarta,Yes,4260000,Telkomsel,2070000,5,No
B00234,Female,KTP,Jakarta,No,1970000,Telkomsel,870000,2,No
B00235,Female,KTP,Jakarta,Yes,5620000,Telkomsel,1460000,1,No
B00236,Female,KTP,Jakarta,Yes,4390000,Telkomsel,1480000,1,No
B00237,Male,KTP,Jakarta,Yes,6440000,Telkomsel,850000,3,No
B00238,Male,KTP,Jakarta,Yes,4820000,Tri,520000,1,No
B00239,Male,KTP,Jakarta,Yes,5620000,Telkomsel,1090000,3,No
B00240,Female,KTP,Jakarta,Yes,7380000,XL,1500000,2,No
B00241,Male,KTP,Jakarta,Yes,2000000,Telkomsel,570000,10,No
B00242,Male,KTP,Jakarta,No,1900000,XL,2410000,12,Yes
B00243,Male,KTP,Jakarta,Yes,5120000,XL,0,3,No
B00244,Female,KTP,Jakarta,Yes,4980000,Telkomsel,3010000,12,Yes
B00245,Male,KTP,Jakarta,Yes,4290000,Telkomsel,840000,1,No
B00246,Male,KTP,Jakarta,Yes,4340000,Telkomsel,1920000,2,No
B00247,Female,KTP,Jakarta,Yes,4850000,XL,1820000,1,No
B00248,Female,KTP,Jakarta,Yes,5020000,Telkomsel,1050000,1,No
B00249,Female,KTP,Jakarta,Yes,5090000,Indosat,1290000,2,No
B00250,Male,KTM,Jakarta,No,2510000,XL,1470000,1,No
B00251,Male,KTP,Jakarta,Yes,5530000,Telkomsel,360000,3,No
B00252,Female,KTP,Jakarta,No,1820000,Indosat,1730000,1,No
B00253,Female,KTM,Jakarta,No,1930000,XL,750000,1,No
B00254,Male,KTP,Jakarta,Yes,5660000,Telkomsel,1180000,1,No
B00255,Male,KTP,Jakarta,Yes,4000000,Telkomsel,860000,1,No
B00256,Male,KTP,Jakarta,No,2230000,Telkomsel,1670000,1,No
B00257,Female,KTP,Jakarta,Yes,4080000,Indosat,110000,1,No
B00258,Female,KTM,Jakarta,No,1740000,Telkomsel,2820000,2,No
B00259,Female,KTP,Jakarta,No,2870000,Telkomsel,1340000,1,No
B00260,Female,KTP,Jakarta,Yes,3870000,Telkomsel,850000,2,No
B00261,Male,KTP,Jakarta,Yes,5610000,XL,1360000,1,No
B00262,Male,KTP,Jakarta,Yes,3490000,Telkomsel,710000,1,No
B00263,Male,KTP,Jakarta,No,3070000,Telkomsel,860000,2,No
B00264,Male,KTP,Jakarta,Yes,3830000,Tri,2340000,11,Yes
B00265,Male,KTP,Jakarta,Yes,5320000,Tri,1520000,2,No
B00266,Female,KTP,Jakarta,Yes,5460000,Telkomsel,900000,1,No
B00267,Male,KTP,Jakarta,No,2700000,Telkomsel,1090000,3,No
B00268,Female,KTP,Jakarta,Yes,5340000,Indosat,2360000,2,No
B00269,Male,KTP,Jakarta,Yes,5310000,Telkomsel,1900000,4,No
B00270,Female,KTP,Jakarta,No,2670000,XL,360000,2,No
B00271,Male,KTP,Jakarta,Yes,6300000,Telkomsel,810000,1,No
B00272,Male,KTP,Jakarta,Yes,3920000,Telkomsel,910000,1,No
B00273,Female,KTP,Jakarta,Yes,5450000,Indosat,1080000,4,No
B00274,Male,KTP,Jakarta,Yes,6150000,Tri,700000,1,No
B00275,Male,KTP,Jakarta,No,2300000,Indosat,720000,3,No
B00276,Male,KTM,Jakarta,No,1350000,Indosat,2300000,1,No
B00277,Male,KTP,Jakarta,Yes,5640000,XL,2090000,7,No
B00278,Female,KTP,Jakarta,Yes,5750000,Telkomsel,1390000,1,No
B00279,Male,KTM,Jakarta,No,2060000,Telkomsel,1680000,1,No
B00280,Male,KTP,Jakarta,Yes,6100000,Telkomsel,570000,2,No
B00281,Male,KTP,Jakarta,Yes,6410000,XL,1030000,1,No
B00282,Male,KTP,Jakarta,Yes,6530000,Indosat,1590000,1,No
B00283,Male,KTP,Jakarta,Yes,3670000,Indosat,0,1,No
B00284,Male,KTP,Jakarta,Yes,4140000,Telkomsel,810000,3,No
B00285,Female,KTP,Jakarta,Yes,4210000,Telkomsel,1250000,3,No
B00286,Male,KTM,Jakarta,No,2510000,XL,2370000,1,No
B00287,Female,KTP,Jakarta,No,1510000,Telkomsel,870000,1,No
B00288,Male,KTP,Jakarta,Yes,3180000,Indosat,2290000,1,No
B00289,Male,KTP,Jakarta,Yes,5470000,Tri,1320000,1,No
B00290,Male,KTP,Jakarta,Yes,3990000,Telkomsel,1930000,1,No
B00291,Male,KTP,Jakarta,Yes,5550000,Telkomsel,1570000,1,No
B00292,Male,KTP,Jakarta,No,1890000,Telkomsel,1080000,1,No
B00293,Female,KTP,Jakarta,No,1940000,XL,1660000,1,No
B00294,Female,KTP,Jakarta,Yes,5620000,Telkomsel,1390000,1,No
B00295,Male,KTM,Jakarta,No,2170000,Telkomsel,1530000,1,No
B00296,Male,KTP,Jakarta,Yes,7470000,Telkomsel,540000,1,No
B00297,Female,KTP,Jakarta,No,1700000,XL,1200000,1,No
B00298,Male,KTP,Jakarta,Yes,6510000,Telkomsel,2630000,1,No
B00299,Male,KTM,Jakarta,No,1930000,Tri,770000,2,No
B00300,Female,KTP,Jakarta,Yes,7550000,Indosat,1580000,1,No
B00301,Female,KTP,Jakarta,Yes,4460000,Telkomsel,0,1,No
B00302,Female,KTP,Jakarta,No,2460000,Indosat,1660000,1,No
B00303,Male,KTP,Jakarta,Yes,5600000,Telkomsel,1600000,1,No
B00304,Male,KTP,Jakarta,Yes,4900000,XL,1620000,1,No
B00305,Male,KTP,Jakarta,No,3320000,Telkomsel,1500000,1,No
B00306,Male,KTP,Jakarta,No,2040000,Telkomsel,1300000,3,No
B00307,Male,KTP,Jakarta,Yes,6500000,Telkomsel,1200000,1,No
B00308,Male,KTP,Jakarta,No,2030000,Indosat,620000,2,No
B00309,Female,KTP,Jakarta,Yes,2240000,Tri,310000,1,No
B00310,Male,KTM,Jakarta,No,2340000,Indosat,3100000,11,Yes
B00311,Male,KTP,Jakarta,Yes,5640000,XL,1150000,1,No
B00312,Male,KTP,Jakarta,Yes,4580000,Indosat,1280000,1,No
B00313,Male,KTP,Jakarta,Yes,5700000,Telkomsel,590000,1,No
B00314,Male,KTP,Jakarta,Yes,6330000,XL,1240000,1,No
B00315,Female,KTP,Jakarta,No,890000,Indosat,2770000,2,No
B00316,Male,KTP,Jakarta,Yes,3870000,Indosat,0,1,No
B00317,Male,KTM,Jakarta,No,3150000,Telkomsel,2030000,1,No
B00318,Male,KTP,Jakarta,No,3410000,Telkomsel,2240000,1,No
B00319,Female,KTP,Jakarta,Yes,5070000,Telkomsel,1840000,1,No
B00320,Male,KTP,Jakarta,Yes,3550000,Telkomsel,1520000,1,No
B00321,Female,KTP,Jakarta,Yes,4530000,Telkomsel,1330000,1,No
B00322,Female,KTM,Jakarta,No,2530000,Telkomsel,1840000,1,No
B00323,Male,KTM,Jakarta,No,2960000,Telkomsel,2190000,1,No
B00324,Male,KTP,Jakarta,Yes,4330000,Telkomsel,0,1,No
B00325,Male,KTP,Jakarta,No,2780000,XL,550000,1,No
B00326,Male,KTP,Jakarta,Yes,5210000,Telkomsel,410000,1,No
B00327,Male,KTP,Jakarta,Yes,5670000,Telkomsel,1570000,4,No
B00328,Male,KTP,Jakarta,Yes,4470000,Telkomsel,1120000,1,No
B00329,Male,KTP,Jakarta,Yes,3300000,XL,1600000,2,No
B00330,Male,KTP,Jakarta,Yes,4830000,XL,350000,1,No
B00331,Female,KTP,Jakarta,Yes,3910000,XL,560000,1,No
B00332,Male,KTP,Jakarta,No,2660000,Telkomsel,1130000,9,No
B00333,Female,KTP,Jakarta,Yes,3870000,Telkomsel,30000,1,No
B00334,Male,KTP,Jakarta,Yes,3930000,Indosat,1930000,1,No
B00335,Male,KTP,Jakarta,Yes,5220000,XL,700000,5,No
B00336,Male,KTP,Jakarta,Yes,4520000,Telkomsel,90000,1,No
B00337,Female,KTP,Jakarta,No,1560000,XL,1110000,1,No
B00338,Male,KTP,Jakarta,Yes,5280000,XL,940000,1,No
B00339,Female,KTM,Jakarta,No,1950000,Telkomsel,1870000,2,No
B00340,Male,KTP,Jakarta,Yes,4130000,Tri,1870000,1,No
B00341,Male,KTP,Jakarta,Yes,6080000,XL,1780000,1,No
B00342,Male,KTP,Jakarta,Yes,5980000,Indosat,2520000,12,Yes
B00343,Male,KTP,Jakarta,Yes,7160000,XL,1450000,2,No
B00344,Female,KTP,Jakarta,Yes,5290000,XL,1150000,1,No
B00345,Male,KTP,Jakarta,Yes,3980000,Telkomsel,570000,1,No
B00346,Female,KTP,Jakarta,Yes,5380000,Indosat,3050000,12,Yes
B00347,Female,KTP,Jakarta,Yes,5690000,Indosat,1180000,1,No
B00348,Female,KTP,Jakarta,No,2610000,Telkomsel,1250000,1,No
B00349,Male,KTP,Jakarta,Yes,6410000,Telkomsel,1620000,1,No
B00350,Male,KTP,Jakarta,Yes,7180000,Telkomsel,2370000,9,Yes
B00351,Female,KTP,Jakarta,No,1930000,Tri,700000,1,No
B00352,Male,KTP,Jakarta,No,2270000,Telkomsel,1920000,1,No
B00353,Male,KTP,Jakarta,Yes,4690000,Telkomsel,2270000,2,No
B00354,Female,KTM,Jakarta,No,1620000,Telkomsel,1610000,7,No
B00355,Male,KTP,Jakarta,Yes,5800000,Telkomsel,1510000,1,No
B00356,Male,KTP,Jakarta,Yes,5650000,Telkomsel,1100000,1,No
B00357,Female,KTP,Jakarta,Yes,6000000,Tri,1060000,3,No
B00358,Female,KTP,Jakarta,Yes,4430000,Telkomsel,2030000,1,Yes
B00359,Male,KTP,Jakarta,Yes,4200000,Indosat,1030000,7,No
B00360,Male,KTP,Jakarta,Yes,6250000,Telkomsel,330000,11,No
B00361,Male,KTP,Jakarta,Yes,5610000,Telkomsel,1870000,2,No
B00362,Female,KTP,Jakarta,No,2470000,Tri,20000,3,No
B00363,Male,KTP,Jakarta,No,2770000,Indosat,810000,1,No
B00364,Male,KTP,Jakarta,Yes,4270000,Indosat,250000,2,No
B00365,Female,KTP,Jakarta,No,3300000,Indosat,2070000,1,No
B00366,Male,KTP,Jakarta,Yes,6910000,Telkomsel,160000,2,No
